NOTIONS,CONTRIBUTEURS,EXEMPLES / EXPERIMENTATIONS,REFERENCES / BIBLIO
anthologie,,,
application (livre applicatif),,,
arborescence,,,
attention,,,
auteur,,,
auto-édition,,EdiNum ,
base de données (et api),,,
bibliothèque numérique,,,
blog,,,
carte conceptuelle,,,
citation,,,
code (écriture),,,
cognition,,,
collaborer,Cide : Samuel Szoniecky,,
communauté de lecteur (forum),Cide : Eric Sotto,booknode.com / lecteurs.com,
contenu,,,
contextualisation,,,
contribution,,,
copier-coller,,,
crowdsourcing,Cide : Matthieu Andro et Imad Saleh,Ozlid et Correct (BNF),
curation,,,
copyright,,,
creative commons,,,
dématérialisation,,,
document numérique,,,"Pédauque : Le document à la lumière du numérique (C&F, 2006)"
documentarisation,Cide : Lisa Chupin et Manuel Zacklad,Les Herbonautes (MNHN),
DRM,,,
e-album,Cide : Françoise Paquienseguy et Laurent Collet,Application Hopper (RMN),
ebook,,,
écosystème d'information,Cide : Samuel Szoniecky,,
écrire,,,
écrit d'écran,Emmanuel Souchier ?,,
écriture numérique,Cide : Gaétan Darquié,,
éditeur,,,
édition numérique,,,
éditorialisation,,,
émoticône (binette),,,Vandendorpe p. 160
encre électronique,,,
encyclopédie,,,
enrichissement,,,
epub,,,
fiction interactive,,,
format,Henri Hudrisier ?,,
fragment,,,
gamification ,Cide : ,,
humanités numériques,Milad ? Dacos et Mounier ?,,
hyperfiction,Atelier Cide : Gaétan,Conduit d'aération,Alexandra Saemmer
hypertexte,Christan Vandendorpe ?,,
immersion,,,
indexation,,,
interface,,,
internet archive,,,
lecteur,,,
lectures industrielles,Alain Giffard,,
lecture numérique,Claire Beslile ?,,
lecture sur écran,Thierry Baccino ?,,
lectures plurielles (sémantique),Cide : Arnaud Laborderie,,
lien,,,
linéaire / linéarité,,,
lire,Cide : Arnaud Laborderie,,"C. Beslile : Lire dans un monde numérique (ENSSIB, 2011.)"
liseuse (reader) ,,,
littérature numérique ,Bertrand Gervais ?,,
"livre (volumen, liber, codex)",Roger Chartier ?,,
livre augmenté,Cide : Arnaud Laborderie,Application Candide (BNF),
livre post-numérique,,,
longue traîne,,,
matérialité ,,,
métadonnées,,,
mémoire ,,,
moteur de recherche,,,
narration augmentée,Cide : Prune Lieutier,,
navigation exploratoire,,,
numérisation,,,
open access / open data,,,
opt-int / opt-out (droits),,,
oralité ,,,
page,,,
partager,,,
pratiques informationnelles,Cide : Najib et Nathalie Pinède,,M. Ihadjadene et S. Chaudiron (2009)
propriété intellectuelle,,,
poésie numérique,Philippe Bootz,,
remédiation,Cide : Arnaud Laborderie,,
rhizome ,,,
récit hybride,,,
réseau,,,
séquentiel ,,,
sérendipité,,,
support ,,,
tablette,,,
tabularité,,,
TEI,Cide : Henri Hudrisier,Rétif de la Bretonne ,
télélecture,Cide : Georges Gagnere et Alexandre Simonet,Le Royaume des Ombres,
texte,,,
textualité,,,
traduction ,,,
translittératie,Cide : Najib et Nathalie Pinède,,
usages,,,
visualisation (de données),Cide : Gaétan Darquier ,,
web sémantique,,,
